Name,Year Founded,Age,Industry 1,Industry 2,R&D Origin,Active Patents,Product Type 1,Product Type 2,Product Type 3,Number of Founders,Number of Technical Founders,Technicality Percentage,Founder 1 Experience,Founder 2 Experience,Founder 3 Experience,Founder 1 Background,Founder 2 Background,Founder 3 Background,Founder 1 Education,Founder 2 Education,Founder 3 Education,Scalability Index,Target Customers 1,Target Customers 2,Target Customers 3,Revenue Model 1,Revenue Model 2,Morality Score,"""Wait What"" Score",Problem Urgency Score,VC Funding,Grant Funding,Debt Financing,Preseed (Accelerator),Seed,Series A,Series B,Series C,Series D,Series E,Series F,Series G+,Valuation Multiple,Exit?,Year Exited,Exit Valuation,Exit Multiple,YTD Funding,YTD Valuation,YTD Multiple,Post-Series B?,Lux Partner,Notes,
Neuralink,2016,6,NeuroTech,,Corporation,3,Hardware,Software,,4,3,0.750,Exited founders,First time founders,Exited founders,Startup background,Big tech background,Startup background,Master's,Postdoc,Bachlor's,3,Consumers,,,Unit Sale,,10,7,7,363,0,0,,127,521,2100,,,,,,16.54,Didn't Exit,,,,363,2100,16.54,Yes,,IBM spinout (TrueNorth),
Axorus,2019,3,NeuroTech,BioTech,Academia,0,Hardware,,,2,2,1.000,First time founders,Repeat founders,,Academia background,Big tech background,,PhD,PhD,,4,Businesses,,,Contracts,,10,7,7,2.21,0,0,,4.71,,,,,,,,1.00,Didn't Exit,,,,2.21,4.71,1.00,,,CNRS (French National Center for Scientific Research) spinout,
Synchron,2016,6,NeuroTech,HealthTech,Academia,2,Hardware,Software,,3,3,1.000,Repeat founders,Repeat founders,First time founders,Academia background,Academia background,Other,Faculty,Faculty,Bachlor's,3,Consumers,Businesses,,Contracts,,10,8,7,64.87,10.7,0,,,16,139.87,,,,,,8.74,Didn't Exit,,,,64.87,139.87,8.74,Yes,,University of Melbourne Vascular Bionics Laboratory spinout. Thomas Reardon wrote angel check in B. ,
Kernel,2016,6,NeuroTech,,Academia,37,Hardware,Data,Software,1,0,0.000,Exited founders,,,Startup background,,,Master's,,,6,Businesses,,,Contracts,,7,7,3,55.51,0,0,,,,,211.84,,,,,1.00,Didn't Exit,,,,55.51,211.84,1.00,,,USC spinout. Bryan Johnson sold Braintree Venmo to Paypal in 2013 for 713m. ,
MindMaze,2012,10,NeuroTech,VR/AR,Academia,8,Software,Hardware,,1,1,1.000,First time founders,,,Academia background,,,PhD,,,6,Consumers,,,Subscription,,10,6,7,340.54,0,125.54,,40,1100,,,,,,,27.50,Didn't Exit,,,,340.54,1100,27.50,,,Ecole Polytechnique Federale de Lausanne PhD thesis,
Dreem,2014,8,NeuroTech,HealthTech,Other,5,Hardware,Software,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Master's,Master's,,7,Consumers,,,Unit Sale,,8,8,6,51.96,5.78,0,,46.34,121.12,,,,,,,2.61,Didn't Exit,,,,51.96,121.12,2.61,,,,
CorTec,2010,12,NeuroTech,HealthTech,Academia,17,Hardware,Software,Service,4,3,0.750,First time founders,First time founders,First time founders,Academia background,Academia background,Academia background,PhD,PhD,PhD,4,Consumers,Businesses,,Unit Sale,Contracts,10,4,7,21.6,0,0,,20.84,25.2,92.47,,,,,,4.44,Didn't Exit,,,,21.6,92.47,4.44,Yes,,University of Freiburg PhD thesis,
Aleva Neurotherapeutics,2008,14,NeuroTech,HealthTech,Academia,6,Hardware,Service,,4,3,0.750,First time founders,First time founders,First time founders,Academia background,Startup background,Academia background,Postdoc,Master's,Faculty,3,Consumers,,,Unit Sale,,10,5,7,64.25,0.18,0,,54.28,32,72,58.14,97.77,,,,1.80,Didn't Exit,,,,64.25,97.77,1.80,Yes,,EPFL (École polytechnique fédérale de Lausanne) spinout,
BIOS,2015,7,NeuroTech,,Academia,3,Software,Data,Hardware,2,2,1.000,Repeat founders,First time founders,,Startup background,Academia background,,PhD,PhD,,8,Businesses,Consumers,,Contracts,,10,10,7,4.75,1.25,0,,18,,,,,,,,1.00,Didn't Exit,,,,4.75,18,1.00,,,University of Cambridge spinout,
Neuroelectrics,2011,11,NeuroTech,HealthTech,Corporation,0,Hardware,Service,Software,2,1,0.500,Repeat founders,Repeat founders,,Startup background,Startup background,,Master's,PhD,,4,Consumers,Businesses,,Contracts,,10,5,7,17.9,0,0,,,42.9,,,,,,,1.00,Didn't Exit,,,,17.9,42.9,1.00,,,Starlab spinout,
Motorica,2015,7,NeuroTech,HealthTech,Other,0,Hardware,,,2,1,0.500,First time founders,Repeat founders,,Startup background,Startup background,,Master's,Bachlor's,,4,Consumers,,,Unit Sale,,10,5,7,7.13,0,0,,10.94,,,,,,,,1.00,Didn't Exit,,,,7.13,10.94,1.00,,,,
Wren Therapeutics,2016,6,BioTech,,Academia,0,Software,Biology,,4,4,1.000,First time founders,First time founders,First time founders,Academia background,Finance background,Academia background,Faculty,PhD,Faculty,6,Businesses,,,Contracts,,10,7,7,43.8,0,0,,11.12,41.22,113.31,,,,,,10.19,Didn't Exit,,,,43.8,113.31,10.19,Yes,,University of Cambridge spinout,
BrainQ,2011,11,NeuroTech,HealthTech,Other,2,Software,Hardware,Service,3,2,0.667,First time founders,First time founders,First time founders,Big tech background,Academia background,Finance background,Postdoc,Faculty,Bachlor's,5,Consumers,Businesses,,Contracts,,10,8,7,47.3,0.06,0,,29.2,160,,,,,,,5.48,Didn't Exit,,,,47.3,160,5.48,,,,
Arctop,2016,6,NeuroTech,AI,Academia,0,Software,,,2,2,1.000,First time founders,Repeat founders,,Academia background,Startup background,,PhD,Bachlor's,,8,Businesses,Government,,Contracts,,8,10,5,6.5,0,0,,4,26,,,,,,,6.50,Didn't Exit,,,,6.5,26,6.50,,,Israel Institute of Technology spinout,
WinterLight Labs,2015,7,HealthTech,AI,Academia,2,Software,,,4,4,1.000,Repeat founders,First time founders,First time founders,Startup background,Academia background,Academia background,Master's,Master's,Faculty,7,Businesses,,,Contracts,,10,4,7,5.45,0,0,,4.56,17.04,,,,,,,3.74,Didn't Exit,,,,5.45,17.04,3.74,,,University of Toronto spinout,
Bitbrain Technologies,2010,12,NeuroTech,,Academia,1,Hardware,Software,Service,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Faculty,Faculty,,6,Businesses,,,Unit Sale,,7,7,5,0.03,0.12,0,0.12,,,,,,,,,1.00,Didn't Exit,,,,0.03,0.12,1.00,,,University of Zaragoza spinout,
MELTIN MMI,2013,9,NeuroTech,Robotics,Other,2,Hardware,Software,,5,2,0.400,First time founders,First time founders,First time founders,Other,Academia background,Finance background,PhD,Master's,Master's,3,Businesses,Government,,Contracts,,7,10,7,31.28,0,0,,53.37,44.47,,,,,,,0.83,Didn't Exit,,,,31.28,44.47,0.83,,,,
Neuros Medical,2008,14,NeuroTech,HealthTech,Other,3,Hardware,Service,,1,0,0.000,First time founders,,,Big tech background,,,Bachlor's,,,3,Consumers,Businesses,,Unit Sale,,10,8,7,81.42,1.5,0,,5.8,16.3,25.05,31.56,29.63,32.02,,,5.52,Didn't Exit,,,,81.42,32.02,5.52,Yes,,,
NeuroPace,1997,24,NeuroTech,HealthTech,Other,43,Hardware,Service,Data,1,1,1.000,Exited founders,,,Big tech background,,,Master's,,,3,Consumers,Businesses,,Unit Sale,,10,9,7,553.35,0,64.05,,4.25,9.25,20,58.5,107.78,250,319.37,406.95,,IPO,2021,389.78,91.71,553.35,389.78,91.71,Yes,,,
BrainPatch,2018,4,NeuroTech,AI,Academia,0,Software,Hardware,Service,2,1,0.500,First time founders,First time founders,,Academia background,Government background,,Postdoc,Master's,,7,Consumers,Businesses,,Contracts,,8,8,6,0.72,0.14,0,,6.11,10.2,,,,,,,1.67,Didn't Exit,,,,0.72,10.2,1.67,,,King's College London spinout,
Wisear,2019,3,NeuroTech,AI,Other,0,Hardware,Software,,2,1,0.500,First time founders,First time founders,,Big tech background,Big tech background,,Master's,Master's,,7,Businesses,,,Contracts,,5,8,2,2.4,0,0,0.31,,,,,,,,,1.00,Didn't Exit,,,,2.4,0.31,1.00,,,,
IDUN Technologies,2017,5,NeuroTech,Infrastructure,Academia,0,Hardware,Software,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Master's,Master's,,6,Businesses,,,Contracts,,7,8,5,7.02,0.06,0,,3.25,28.25,14.21,,,,,,4.37,Didn't Exit,,,,7.02,14.21,4.37,Yes,,ETH Zurich spinout,
NextSense,2020,2,NeuroTech,HealthTech,Corporation,1,Hardware,Software,,1,1,1.000,Repeat founders,,,Big tech background,,,Bachlor's,,,7,Consumers,Businesses,,Unit Sale,Contracts,10,9,7,14.67,0,0,,24.07,48.5,,,,,,,2.01,Didn't Exit,,,,14.67,48.5,2.01,,,"Google spinout, founder was Director of X",
Inbrain Necuroelectronis,2019,3,NeuroTech,HealthTech,Academia,0,Hardware,Service,Software,5,4,0.800,First time founders,First time founders,First time founders,Big tech background,Academia background,Academia background,Master's,Faculty,Faculty,3,Businesses,,,Contracts,,10,5,7,19.48,0,1.1,,2.43,37.58,,,,,,,15.47,Didn't Exit,,,,19.48,37.58,15.47,,,Nanoscience & Nanotechnology Institute of Catalonia spinout,
ni20,2017,5,NeuroTech,HealthTech,Academia,0,Hardware,Software,,1,1,1.000,Repeat founders,,,Academia background,,,Faculty,,,5,Consumers,Businesses,,Contracts,,10,8,7,2.05,0,0,,8.2,,,,,,,,1.00,Didn't Exit,,,,2.05,8.2,1.00,,,University of Oxford spinout,
Braingineers,2013,9,NeuroTech,AI,Other,0,Hardware,Service,Software,3,2,0.667,First time founders,First time founders,First time founders,Academia background,Academia background,Startup background,Master's,Master's,Master's,6,Businesses,,,Subscription,,5,3,2,1.91,0,0,,4.52,,,,,,,,1.00,Didn't Exit,,,,1.91,4.52,1.00,,,,
Mooji Meats,2021,1,Food,BioTech,Academia,0,Other,,,2,1,0.500,First time founders,First time founders,,Finance background,Academia background,,Master's,Faculty,,7,Consumers,Businesses,,Unit Sale,Contracts,8,9,7,2.5,0,0,1.71,10,,,,,,,,1.00,Didn't Exit,,,,2.5,10,1.00,,,Harvard/John's Hopkins spinout,
A-Alpha Bio,2017,5,BioTech,,Academia,0,Software,Biology,Service,2,2,1.000,First time founders,Repeat founders,,Academia background,Academia background,,PhD,PhD,,6,Businesses,University,Government,Contracts,,10,5,7,23.155,1.74,0,,10,154.2,,,,,,,15.42,Didn't Exit,,,,24.895,154.2,15.42,,,,Estimated
Adimab,2007,15,BioTech,,Academia,9,Software,Biology,Service,3,2,0.667,Repeat founders,First time founders,Exited founders,Academia background,Finance background,Startup background,Faculty,Master's,PhD,7,Businesses,University,,Contracts,,10,3,7,142.56,0,0,,,18.61,57.82,123.27,262.2,528.39,530,1100,59.11,Didn't Exit,,,,142.56,1100,59.11,Yes,,,
Adyn,2020,2,HealthTech,BioTech,Academia,0,Service,Biology,,1,1,1.000,First time founders,,,Academia background,,,Postdoc,,,8,Consumers,Businesses,,Unit Sale,Subscription,8,1,2,2.65,0,0,2.14,7.5,,,,,,,,1.00,Didn't Exit,,,,2.65,7.5,1.00,,Deena Shakir,,Funding data from PB
Aeva,2017,4,Mobility,CV,Corporation,16,Hardware,Software,,2,1,0.500,First time founders,Repeat founders,,Big tech background,Big tech background,,Master's,Bachlor's,,8,Businesses,Government,,Contracts,Unit Sale,5,5,2,424.5,0,0,,20.1,201,460,,,,,,,IPO,2021,2100,104.48,424.5,2100,104.48,Yes,Shahin Farshchi,,
Aira.io,2015,5,CV,HealthTech,Other,1,Hardware,Software,Service,3,2,0.667,Exited founders,First time founders,First time founders,Startup background,Big tech background,Big tech background,Master's,Master's,Master's,5,Consumers,Businesses,,Unit Sale,Contracts,7,1,5,35.45,0.225,1.16,,,9.45,32.43,55,,,,,5.82,M&A,2020,,,36.835,55,5.82,Yes,Josh Wolfe,,
AirMap,2015,6,Aerospace,Drones,Government,0,Software,,,2,1,0.500,Repeat founders,First time founders,,Startup background,Government background,,Bachlor's,PhD,,9,Businesses,Government,,Contracts,Subscription,5,1,1,77.36,3.3,1.37,,12.96,48.47,120,161.76,,,,,12.48,M&A,2021,,,82.03,161.76,12.48,Yes,Bilal Zuberi,,
Alife Health,2020,2,HealthTech,AI,Corporation,0,Software,,,1,1,1.000,First time founders,,,Startup background,,,Master's,,,8,Consumers,Businesses,,Contracts,Subscription,7,5,5,31.5,0.075,0,,56.5,102,,,,,,,1.81,Didn't Exit,,,,31.575,102,1.81,,Deena Shakir,,
AllStripes,2017,5,HealthTech,,Other,0,Software,Data,,2,0,0.000,Repeat founders,First time founders,,Startup background,Finance background,,Master's,Master's,,7,Consumers,Businesses,,Contracts,,7,1,7,67,0,0,,13.5,33,56,304,,,,,22.52,Didn't Exit,,,,67,304,22.52,Yes,Deena Shakir,,
Alluvium,2015,4,Manufacturing,AI,Other,0,Software,Data,Service,1,1,1.000,Repeat founders,,,Government background,,,PhD,,,5,Businesses,,,Contracts,,5,1,1,6.5,0,0,,11.05,,,,,,,,1.00,M&A,2019,,,6.5,11.05,1.00,,,,
AltspaceVR,2013,4,VR/AR,,Other,0,Software,,,2,2,1.000,Repeat founders,First time founders,,Startup background,Big tech background,,Master's,Bachlor's,,9,Consumers,,,Other,,5,3,1,15.7,0,0,,15.6,30.9,,,,,,,1.98,M&A,2017,,,15.7,30.9,1.98,,,,
Anagenex,2019,3,BioTech,,Corporation,0,Data,Software,Biology,2,1,0.500,First time founders,Repeat founders,,Big tech background,Finance background,,Postdoc,Master's,,6,Businesses,University,,Contracts,,10,5,7,42.2,0,0,,12.5,83.7,,,,,,,6.70,Didn't Exit,,,,42.2,83.7,6.70,,,,
Anchorage,2017,5,Blockchain,FinTech,Corporation,3,Software,Service,,2,1,0.500,First time founders,Repeat founders,,Big tech background,Big tech background,,PhD,Bachlor's,,8,Businesses,Consumers,,Contracts,Subscription,5,1,2,487,0,0,,,68,160,400,3000,,,,44.12,Didn't Exit,,,,487,3000,44.12,Yes,Brandon Reeves,,
Anduril,2017,5,Defense,,Other,2,Software,Hardware,Service,5,4,0.800,Exited founders,Exited founders,Exited founders,Startup background,Startup background,Finance background,High School,Bachlor's,Bachlor's,5,Government,,,Contracts,,3,7,6,835.1,36,0,,97.5,250,1030,1900,4600,,,,47.18,Didn't Exit,,,,871.1,4600,47.18,Yes,Brandon Reeves,Palmer Luckey,
Applied Intuition,2017,5,Mobility,VR/AR,Corporation,1,Software,Data,,2,1,0.500,First time founders,Exited founders,,Big tech background,Big tech background,,Master's,Master's,,7,Businesses,Government,,Subscription,Contracts,5,6,2,351.5,0,0,,,41.5,283,1250,3600,,,,86.75,Didn't Exit,,,,351.5,3600,86.75,Yes,Bilal Zuberi,,
Aria Insights,2008,11,Drones,Aerospace,Corporation,0,Hardware,Service,Data,1,1,1.000,Exited founders,,,Big tech background,,,Master's,,,4,Businesses,Government,,Unit Sale,Contracts,5,2,3,42.33,0.882,0,,,13.12,15.63,25.95,73.53,0,,,,M&A,2019,0,0.00,43.212,0,0.00,Yes,Bilal Zuberi,,
Arraiy,2016,4,CV,AI,Corporation,0,Software,Service,,3,2,0.667,First time founders,Exited founders,Repeat founders,Finance background,Big tech background,Big tech background,Master's,PhD,Bachlor's,5,Businesses,,,Contracts,,5,4,1,13.18,0,0,,15.1,35.23,,,,,,,2.33,M&A,2020,,,13.18,35.23,2.33,,Shahin Farshchi,,
Astranis,2015,7,Aerospace,Infrastructure,Corporation,1,Service,Hardware,Data,2,2,1.000,First time founders,Repeat founders,,Big tech background,Other,,Master's,Master's,,3,Businesses,Government,,Contracts,Subscription,7,2,5,393.92,0,5.1,1.71,13.14,38.5,110,1280,,,,,97.41,Didn't Exit,,,,399.02,1280,97.41,Yes,Shahin Farshchi,,
Atavistik Bio,2021,1,BioTech,HealthTech,Academia,0,Service,Biology,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Faculty,Faculty,,5,Businesses,Government,University,Contracts,,10,6,7,60,0,0,,,80,,,,,,,1.00,Didn't Exit,,,,60,80,1.00,,,,
Auransa,2014,8,BioTech,AI,Other,0,Service,Biology,,2,2,1.000,First time founders,First time founders,,Big tech background,Big tech background,,PhD,PhD,,6,Businesses,University,Government,Contracts,,10,2,7,18.55,0,0,,8.81,80.74,75,,,,,,8.51,Didn't Exit,,,,18.55,75,8.51,Yes,,,
Auris Health,2006,13,Robotics,HealthTech,Other,144,Hardware,,,2,1,0.500,First time founders,Exited founders,,Other,Startup background,,Master's,Master's,,6,Government,Businesses,,Contracts,Unit Sale,10,7,7,838.27,0,100.125,,,5.4,9.2,45.38,600,1280,2160,,,M&A,2019,5750,1064.81,938.395,5750,1064.81,Yes,Peter Hebert,,
Aurora Solar,2013,9,Energy,VR/AR,Other,3,Software,Service,,2,0,0.000,Repeat founders,First time founders,,Other,Finance background,,Master's,Master's,,7,Businesses,,,Contracts,Subscription,7,2,6,523.67,0,0,,,63.47,450,2120,4400,,,,69.32,Didn't Exit,,,,523.67,4400,69.32,Yes,Bilal Zuberi,,
Avail,2017,5,HealthTech,Robotics,Other,1,Hardware,Software,,1,0,0.000,Repeat founders,,,Startup background,,,Master's,,,6,Businesses,Government,,Subscription,,7,4,3,126.66,0,0,,,18.93,53.73,275,,,,,14.53,Didn't Exit,,,,126.66,275,14.53,Yes,Peter Hebert,,
Brainiac,2017,5,HealthTech,Food,Other,0,Other,,,2,0,0.000,Exited founders,First time founders,,Startup background,Big tech background,,Master's,Master's,,6,Consumers,,,Unit Sale,,5,1,1,19.1,0,0,,12,60.1,,,,,,,5.01,Didn't Exit,,,,19.1,60.1,5.01,,,,
Bright Machines,2018,4,Manufacturing,AI,Corporation,25,Software,Hardware,,3,1,0.333,Repeat founders,Exited founders,First time founders,Big tech background,Startup background,Big tech background,Master's,High School,Bachlor's,6,Businesses,,,Subscription,Unit Sale,5,3,3,315.45,0,15,,69.97,679,871.45,,,,,,12.45,Didn't Exit,,,,330.45,871.45,12.45,Yes,Peter Hebert,,
Cajal Neuroscience,2020,2,NeuroTech,HealthTech,Academia,0,Biology,,,6,5,0.833,Repeat founders,Repeat founders,First time founders,Startup background,Academia background,Academia background,PhD,Faculty,Faculty,3,Businesses,Consumers,,Contracts,Unit Sale,10,3,7,65.7,0,0,,,94.7,,,,,,,1.00,Didn't Exit,,,,65.7,94.7,1.00,,Josh Wolfe,,
Cala Health,2014,8,NeuroTech,HealthTech,Academia,4,Hardware,,,3,3,1.000,First time founders,Repeat founders,First time founders,Academia background,Academia background,Academia background,Postdoc,Faculty,Postdoc,7,Businesses,Consumers,,Contracts,Unit Sale,10,6,6,122.07,0.04,0,,,7.8,61,136,227.77,,,,29.20,Didn't Exit,,,,122.11,227.77,29.20,Yes,,,
Cape Analytics,2014,8,PropTech,Aerospace,Other,1,Data,,,2,1,0.500,First time founders,First time founders,,Finance background,Startup background,,Master's,Postdoc,,7,Businesses,,,Contracts,,5,3,2,87.95,0,0,,17.46,45,77,105,268,,,,15.35,Didn't Exit,,,,87.95,268,15.35,Yes,Peter Hebert,,
Caper,2015,6,Robotics,CV,Other,3,Hardware,Data,,4,2,0.500,First time founders,Repeat founders,First time founders,Finance background,Startup background,Academia background,Bachlor's,Master's,PhD,7,Businesses,,,Contracts,,5,8,1,13.97,0,0,1.71,12.4,35.45,,,,,,,,M&A,2021,350,28.23,13.97,350,28.23,,,,
Cerulean Pharma,2005,9,BioTech,NanoTech,Academia,6,Biology,,,3,2,0.667,Exited founders,Exited founders,First time founders,Startup background,Academia background,Academia background,Master's,Faculty,Faculty,3,Businesses,Consumers,,Contracts,Unit Sale,10,6,7,174.73,0,6.45,,11.72,31.14,55.03,66.06,52.2,111,,,,IPO,2014,133.1,11.36,181.18,133.1,11.36,Yes,,,
Chronosphere,2019,3,Infrastructure,,Corporation,0,Software,,,2,2,1.000,First time founders,First time founders,,Big tech background,Big tech background,,Bachlor's,Bachlor's,,8,Businesses,,,Subscription,Contracts,5,1,1,255,0,0,,1.6,31,243.4,1370,,,,,856.25,Didn't Exit,,,,255,1370,856.25,Yes,Brandon Reeves,,
Clarifai,2013,9,AI,CV,Academia,13,Software,,,1,1,1.000,Repeat founders,,,Academia background,,,PhD,,,9,Businesses,Government,Consumers,Unit Sale,Contracts,5,2,2,101.25,0,0,,,45.31,69.43,775.25,,,,,17.11,Didn't Exit,,,,101.25,775.25,17.11,Yes,,,
Common Networks,2016,4,Infrastructure,Connectivity,Corporation,0,Hardware,Service,Software,4,2,0.500,First time founders,First time founders,First time founders,Big tech background,Big tech background,Big tech background,Bachlor's,Bachlor's,Bachlor's,4,Consumers,,,Unit Sale,,6,2,3,34.3,0,1.44,,8.9,30,85,,,,,,9.55,M&A,2020,,,35.74,85,9.55,Yes,,,
Covariant,2017,5,AI,Robotics,Academia,0,Software,,,4,4,1.000,Exited founders,First time founders,First time founders,Academia background,Academia background,Academia background,Faculty,PhD,PhD,8,Businesses,,,Contracts,Subscription,5,7,2,147,0,0,,31,150,240,530,,,,,17.10,Didn't Exit,,,,147,530,17.10,Yes,Shahin Farshchi,,
Creyon,2019,3,BioTech,AI,Corporation,0,Service,Biology,,2,2,1.000,First time founders,First time founders,,Big tech background,Big tech background,,Postdoc,Postdoc,,3,Businesses,Government,,Contracts,,10,7,7,45.5,0,0,,12.5,72.15,,,,,,,5.77,Didn't Exit,,,,45.5,72.15,5.77,,,,
Crystal IS,1997,15,NanoTech,Energy,Academia,21,Hardware,,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Faculty,Faculty,,5,Businesses,,,Contracts,Unit Sale,6,6,3,24,0,3.66,,,5.05,15.72,24,,,,,4.75,M&A,2012,,,27.66,24,4.75,Yes,Josh Wolfe,,
CTRL-labs,2015,4,NeuroTech,AI,Academia,0,Hardware,Software,,2,2,1.000,Exited founders,First time founders,,Big tech background,Academia background,,PhD,PhD,,4,Consumers,Government,,Unit Sale,Contracts,5,10,3,67,0,0,,31,118,248,,,,,,,M&A,2019,1000,32.26,67,1000,32.26,Yes,Josh Wolfe,One founder built Internet Explorer,
Deep Sentinel,2016,6,Security,AI,Other,1,Hardware,Service,Software,2,2,1.000,Exited founders,Repeat founders,,Startup background,Startup background,,Bachlor's,Bachlor's,,5,Consumers,Businesses,,Unit Sale,,8,3,5,24,0,0.79,,348.3,,,,,,,,1.00,Didn't Exit,,,,24.79,348.3,1.00,,Bilal Zuberi,,
Desktop Metal,2015,5,Manufacturing,Infrastructure,Academia,22,Hardware,Software,,5,5,1.000,Repeat founders,Repeat founders,Repeat founders,Big tech background,Academia background,Academia background,Bachlor's,Faculty,Faculty,5,Businesses,Consumers,,Contracts,Unit Sale,5,8,3,731.98,0,20,,,31.98,134.08,360,1020,1500,,,,IPO,2020,2800,87.55,751.98,2800,87.55,Yes,Bilal Zuberi,,
Drone Racing League,2015,7,Drones,VR/AR,Other,2,Hardware,Software,Other,3,2,0.667,First time founders,Repeat founders,Repeat founders,Big tech background,Startup background,Startup background,Master's,Bachlor's,Bachlor's,6,Consumers,Government,,Other,,5,2,1,87.37,0,1.86,,,7,38.16,104.5,176.4,200.4,,,28.63,Didn't Exit,,,,89.23,200.4,28.63,Yes,,,
DuckDuckGo,2008,14,Search Engine,Infrastructure,Other,1,Software,,,1,0,0.000,First time founders,,,Other,,,Master's,,,9,Consumers,,,Other,,6,3,3,72,0,0,,,15,160,839,,,,,55.93,Didn't Exit,,,,72,839,55.93,Yes,Brandon Reeves,,
Dyno Therapeutics,2018,4,BioTech,AI,Academia,0,Software,Biology,Service,6,5,0.833,First time founders,Exited founders,First time founders,Academia background,Startup background,Academia background,Faculty,PhD,PhD,5,Businesses,University,Government,Contracts,,10,6,7,111,0,0,,29,500,,,,,,,17.24,Didn't Exit,,,,111,500,17.24,,,,
